Compound,Station
SGHAC_023408,EPL901
SILICA_8,EPL901
TL901_027000,EPL901
TL901_027008,EPL901
TL901_027009,EPL901
TL901_027300,EPL901
TL901_DIAG,EPL901
TL901_P2P,EPL901
TL901_VT_BDI,EPL901
TL901_VT_GDE,EPL901
TL901_VT_GDS,EPL901
TL901_VT_TDL,EPL901
TL902_023400,EPL901
TL902_023408,EPL901
TL902_024200,EPL901
TL902_DIAG,EPL901
TL902_ESD22,EPL901
TL902_P2P,EPL901
CL201_013300,OPC101
CL201_013301,OPC101
CL201_013302,OPC101
CL201_013401,OPC101
CL201_013402,OPC101
CL202_013302,OPC101
CL202_013402,OPC101
CL203_013300,OPC101
CL206_013401,OPC101
CL207_013402,OPC101
MCCL2_013300,OPC101
MCCL2_013301,OPC101
MCCL2_013302,OPC101
MCCL2_013401,OPC101
MCCL2_013402,OPC101
SGCMP_013401,OPC101
SGCMP_013402,OPC101
SGCMP1_PAKIN,OPC101
SGCMP1_PAKOT,OPC101
SGCMP2_PAKIN,OPC101
SGCMP2_PAKOT,OPC101
SGHAC_013401,OPC101
SGHAC_013402,OPC101
SGHAC1_PAKIN,OPC101
SGHAC1_PAKOT,OPC101
SGHAC2_PAKIN,OPC101
SGHAC2_PAKOT,OPC101
SILICA_1,OPC101
SILICA_2,OPC101
TL202_013300,OPC101
TL202_013301,OPC101
TL202_013401,OPC101
TL202_330_I3,OPC101
TL202_330_I4,OPC101
TL203_013300,OPC101
TL203_013302,OPC101
TL203_013402,OPC101
TL203_330_I3,OPC101
TL203_330_I4,OPC101
TL204_013401,OPC101
TL204_340_I3,OPC101
TL205_013402,OPC101
TL205_340_I3,OPC101
CL201_013300,OPC102
CL201_013301,OPC102
CL201_013302,OPC102
CL201_013401,OPC102
CL201_013402,OPC102
CL202_013302,OPC102
CL202_013402,OPC102
CL203_013300,OPC102
CL206_013401,OPC102
CL207_013402,OPC102
MCCL2_013300,OPC102
MCCL2_013301,OPC102
MCCL2_013302,OPC102
MCCL2_013401,OPC102
MCCL2_013402,OPC102
SGCMP_013401,OPC102
SGCMP_013402,OPC102
SGCMP1_PAKIN,OPC102
SGCMP1_PAKOT,OPC102
SGCMP2_PAKIN,OPC102
SGCMP2_PAKOT,OPC102
SGHAC_013401,OPC102
SGHAC_013402,OPC102
SGHAC1_PAKIN,OPC102
SGHAC1_PAKOT,OPC102
SGHAC2_PAKIN,OPC102
SGHAC2_PAKOT,OPC102
SILICA_1,OPC102
SILICA_2,OPC102
TL202_013300,OPC102
TL202_013301,OPC102
TL202_013401,OPC102
TL202_330_I3,OPC102
TL202_330_I4,OPC102
TL203_013300,OPC102
TL203_013302,OPC102
TL203_013402,OPC102
TL203_330_I3,OPC102
TL203_330_I4,OPC102
TL204_013401,OPC102
TL204_340_I3,OPC102
TL205_013402,OPC102
TL205_340_I3,OPC102
CL201_013300,OPC103
CL201_013301,OPC103
CL201_013302,OPC103
CL201_013401,OPC103
CL201_013402,OPC103
CL202_013302,OPC103
CL202_013402,OPC103
CL203_013300,OPC103
CL206_013401,OPC103
CL207_013402,OPC103
MCCL2_013300,OPC103
MCCL2_013301,OPC103
MCCL2_013302,OPC103
MCCL2_013401,OPC103
MCCL2_013402,OPC103
SGCMP_013401,OPC103
SGCMP_013402,OPC103
SGCMP1_PAKIN,OPC103
SGCMP1_PAKOT,OPC103
SGCMP2_PAKIN,OPC103
SGCMP2_PAKOT,OPC103
SGHAC_013401,OPC103
SGHAC_013402,OPC103
SGHAC1_PAKIN,OPC103
SGHAC1_PAKOT,OPC103
SGHAC2_PAKIN,OPC103
SGHAC2_PAKOT,OPC103
SILICA_1,OPC103
SILICA_2,OPC103
TL202_013300,OPC103
TL202_013301,OPC103
TL202_013401,OPC103
TL202_330_I3,OPC103
TL202_330_I4,OPC103
TL203_013300,OPC103
TL203_013302,OPC103
TL203_013402,OPC103
TL203_330_I3,OPC103
TL203_330_I4,OPC103
TL204_013401,OPC103
